n,word,transcription,translate
1,fly,[flai],летать
2,pilot,['pailət],пилот
3,hospital,['hɔspitl],больница
4,estate,[is'teit],поместье\ имущество\ сословие
5,apartment,[ə'pɑ:tmənt],квартира
6,bakery,['beikəri],пекарня
7,temple,[templ],храм
8,church,[ʧə:ʧ],церковь
9,dentist,['dentist],зубнойврач
10,doctor,['dɔktə],доктор\ врач
11,nurse,[nə:s],няня(не nanny)
12,cup,[kʌp],чашка
13,cupboard,['kʌbəd],буфет
14,glass,[glɑ:s],стакан\ бокал
15,plate,[pleit],тарелка
16,saucepan,['sɔ:spən],кастрюля
17,jug,[ʤʌg],кувшин
18,kettle,[ketl],чайник
19,sink,[siŋk],тонуть
20,tap,[tæp],постучать
21,telephone,['telifəun],телефон\ звонить по телефону
22,knife,[naif],нож
23,plane,[plein],самолет
24,photographer,[fə'tɔgrəfə],фотограф
25,reporter,[ri'pɔ:tə],репортер
26,postman,['pəustman],почтальон
27,cabbage,['kæbiʤ],капуста
28,fork,[fɔ:k],вилка
29,spoon,[spu:n],ложка
30,waiter,['weitə],официант
31,waitress,[weits],официантка
32,market,['mɑ:kit],рынок
33,actor,['æktə],актер
34,drugstore,['drʌg‚stɔ:r],аптека
35,pedestrian,[pi'destriən],пешеход
36,block,[blɔk],блок\ квартал
37,bus,[bʌs],автобус
38,car,[kɑ:],машина
39,stadium,['steidjəm],стадион
40,street,[stri:t],улица
41,taxi,['tæksi],такси
42,tram,[træm],трамвай
43,underground,['ʌndəgraund],метрополитен\ подземный\ подпольный
44,van,[væn],фургон\ багажныйвагон
45,park,[pɑ:k],парк\ (при)парковать(ся)
46,boulevard,['bu:lvɑ:],бульвар
47,truck,[trʌk],грузовик
48,bicycle,['baisikl],велосипед
49,train,[trein],поезд\ привлекать\ воспитывать
50,coach,[kəuʧ],тренировать\ инструктор
51,fly,[flai],летать
52,pilot,['pailət],пилот
53,hospital,['hɔspitl],больница
54,estate,[is'teit],поместье\ имущество\ сословие
55,apartment,[ə'pɑ:tmənt],квартира
56,bakery,['beikəri],пекарня
57,temple,[templ],храм
58,church,[ʧə:ʧ],церковь
59,dentist,['dentist],зубнойврач
60,doctor,['dɔktə],доктор\ врач
61,nurse,[nə:s],няня(неnanny)
62,cup,[kʌp],чашка
63,cupboard,['kʌbəd],буфет
64,glass,[glɑ:s],стакан\ бокал
65,plate,[pleit],тарелка
66,saucepan,['sɔ:spən],кастрюля
67,jug,[ʤʌg],кувшин
68,kettle,[ketl],чайник
69,sink,[siŋk],тонуть
70,tap,[tæp],постучать
71,telephone,['telifəun],телефон\ звонитьпотелефону
72,knife,[naif],нож
73,plane,[plein],самолет
74,photographer,[fə'tɔgrəfə],фотограф
75,reporter,[ri'pɔ:tə],репортер
76,postman,['pəustman],почтальон
77,cabbage,['kæbiʤ],капуста
78,fork,[fɔ:k],вилка
79,spoon,[spu:n],ложка
80,waiter,['weitə],официант
81,waitress,[weits],официантка
82,market,['mɑ:kit],рынок
83,actor,['æktə],актер
84,drugstore,['drʌg‚stɔ:r],аптека
85,pedestrian,[pi'destriən],пешеход
86,block,[blɔk],блок\ квартал
87,bus,[bʌs],автобус
88,car,[kɑ:],машина
89,stadium,['steidjəm],стадион
90,street,[stri:t],улица
91,taxi,['tæksi],такси
92,tram,[træm],трамвай
93,underground,['ʌndəgraund],метрополитен\ подземный\ подпольный
94,van,[væn],фургон\ багажныйвагон
95,park,[pɑ:k],парк\ (при)парковать(ся)
96,boulevard,['bu:lvɑ:],бульвар
97,truck,[trʌk],грузовик
98,bicycle,['baisikl],велосипед
99,train,[trein],поезд\ привлекать\ воспитывать
100,coach,[kəuʧ],тренировать\ инструктор
101,border,['bɔ:də],граница
102,artist,['ɑ:tist],художник
103,actress,['æktris],актриса
104,computer,[kəm'pju:tə],компьютер
105,mouse,[maus],мышь
106,teacher,['ti:ʧə],учитель
107,lawyer,['lɔ:jə],адвокат\ юрист
108,suit,[sju:t],костюм\ подходить\ устраивать
109,jail,[ʤeil],тюрьма
