nn;word;transcription;translate
1;arouse;[??ra?z];вызывать, пробуждать
2;pretty;[?pr?ti];довольно-таки
3;grand;[gr?nd];большой, великий
4;volume;[?v?lj?m];громкость
5;draw (drew, drawn);[dr??];тянуть
6;coach;[k???];автобус, вагон, телега
7;provide;[pr??va?d];обеспечивать, снабжать
;provider;[pr??va?d?];поставщик
;provision;[pr??v???n];обеспечение
8;cope with;[k??pw??];совладать, справиться
9;condition;[k?n?d???n];состояние
10;land;[l?nd];приземляться, высаживаться
11;scope;[sk??p];пределы, район
12;pack;[p?k];пачка, связка, колода, и т. д.
;package;[?p?k??];пакет
13;craft;[kr??ft];ремесло, мастерство
;craftsman;[?kr??ftsm?n];ремесленник
;crafty;[?kr??fti];ловкий, хитрый
14;worth;[w???];стоимость, стоящий
;worthy;[?w???i];достойный
15;urban;[???b?n];городской
;urbanization;[???b(?)na??ze??(?)n];урбанизация
16;pond;[p?nd];пруд
17;familiar;[f??m?li?];знакомый
;familiarity;[f??m?l???r?ti];знакомство
;unfamiliar;[??nf??m?li?];незнакомый
;familiarize;[f??m?li?ra?z];ознакомиться
18;tap;[t?p];стучать
19;column;[?k?l?m];столб, колонна
20;guilt;[g?lt];вина
;guilty;[?g?lti];виновный
21;arm;[??m];рука
;forearm;[?f??r??m];предплечье
22;chamber;[??e?mb?];кабинет, зал, палата, камера
23;owe;[??];задолжать
24;include;[?n?klu?d];включать, содержать в себе
;inclusion;[?n?klu???n];включение
;inclusive;[?n?klu?s?v];включающий в себя
;inclusively;[?n?klu?s?vli];включительно
25;appoint;[??p??nt];назначать, утверждать
;appointment;[??p??ntm?nt];деловое свидание, встреча
;appointment;[??p??ntm?nt];назначение на должность
26;celebrate;[?s?l?bre?t];праздновать
;celebration;[?s?l??bre???n];праздник
;celebratory;[celebratory];праздничный
27;abuse;[??bju?s];оскорблять, бранить, брань
;abusive;[??bju?s?v];оскорбительный
28;dig (dug, dug);[d?g];копать
29;behavior;[b??he?vj?];поведение
30;cable;[?ke?bl];канат, кабель, трос и т.д.
31;intelligent;[?n?t?l???nt];умный
;intelligence;[?n?t?l???ns];интеллект
32;admit;[?d?m?t];признавать, допускать
;admission;[?d?m??(?)n];допущение, допуск
;admittedly;[?d?m?t?dli];по общему признанию
33;cream;[kri?m];крем, сливки
;creamy;[?kri?mi];сливочный
;ice cream;[a?skri?m];мороженое
34;appropriate;[??pr??pr??t];присвоить
;appropriation;[??pr??pr??e??(?)n];присвоение
35;root;[ru?t];корень
36;compare;[k?m?pe?];сравнить
;comparable;[?k?mp?r?bl];сравнимый
;incomparable;[?n?k?mp?r?bl];несравнимый
;comparative;[k?m?p?r?t?v];сравнительный
;comparatively;[k?m?p?r?t?vli];в сравнении
37;human;[?hju?m?n];человек, человеческий
;inhuman;[?n?hju?m?n];бесчеловечный
;humanity;[hju(?)?m?n?ti];человечество
