date,variants,type,id,task,target,answer,variants,result

2021-11-07 18:01:00.846062,Trueru,5043,surprising,удивительно,удивительно,1
2021-11-07 18:01:21.790491,True,ru,1633,obvious,очевидно,очевидно,1
2021-11-07 18:03:02.529613,True,ru,1326,fluently,бегло, свободно,бегло, свободно,1
2021-11-07 18:07:31.314495,False,en,2589,в наше время,nowadays,nowadays,1
2021-11-07 18:07:45.483043,False,en,5043,удивительно,surprising,purprising,0
2021-11-07 18:08:22.940160,False,ru,1326,fluently,бегло, свободно,свободно,1
2021-11-07 18:34:20.272593,False,ru,1326,fluently,бегло, свободно,бегло,1
2021-11-07 19:21:30.473660,False,en,1633,очевидно,obvious,obvious,1
2021-11-07 19:22:12.326669,False,en,5043,удивительно,surprising,surprising,1
2021-11-07 19:35:39.347530,False,en,2589,в наше время,nowadays,nowadays,1
2021-11-07 19:36:29.933993,False,en,5043,удивительно,surprising,surprising,1
2021-11-07 20:16:29.078745,False,ru,1326,fluently,бегло/свободно,свободно,1
2021-11-07 20:16:58.456767,False,ru,1633,obvious,очевидно,очевидно,1
2021-11-07 20:19:18.170152,False,en,2589,в наше время,nowadays,nowadays,1
2021-11-07 20:19:37.457706,False,ru,429,trousers,брюки,брюки,1
2021-11-07 20:19:59.760761,False,ru,10004,these shoes,эта обувь,эта обувь,1
2021-11-07 20:20:10.736481,False,en,10003,примерять,try on,try on,1
2021-11-07 20:20:24.063927,False,ru,10004,these shoes,эта обувь,эта обувь,1
2021-11-07 20:20:32.416456,False,en,429,брюки,trousers,trousers,1
2021-11-07 20:20:40.767934,False,en,638,иностранный,foreign,forign,0
2021-11-07 20:20:51.935393,False,en,1633,очевидно,obvious,obvious,1
2021-11-07 20:21:20.967040,False,en,1326,['бегло', 'свободно'],fluently,fluently,1
2021-11-07 20:21:25.022573,False,en,10003,примерять,try on,try on,1
2021-11-07 20:21:33.734815,False,en,638,иностранный,foreign,foreign,1
2021-11-07 20:21:43.398898,False,en,5043,удивительно,surprising,surprising,1
2021-11-07 20:21:49.470562,False,en,5043,удивительно,surprising,surprising,1
2021-11-07 20:21:55.158322,False,ru,638,foreign,иностранный,иностранный,1
2021-11-07 20:22:01.758620,False,en,1326,['бегло', 'свободно'],fluently,fluently,1
2021-11-07 20:22:07.566046,False,en,10003,примерять,try on,try on,1
2021-11-07 20:25:42.214256,False,ru,638,foreign,иностранный,иностранный,1
2021-11-07 20:25:51.414560,False,en,10004,эта обувь,these shoes,theese shoes,0
2021-11-07 20:29:32.338317,False,en,10004,эта обувь,these shoes,these shoes,1
2021-11-07 20:29:41.282506,False,en,10004,эта обувь,these shoes,these shoes,1
2021-11-07 20:29:48.434700,False,en,1633,очевидно,obvious,obvious,1
2021-11-07 20:29:54.962832,False,ru,1633,obvious,очевидно,очевидно,1
2021-11-07 20:29:59.987186,False,ru,10005,spend on,тратить на,тратить на,1
2021-11-07 20:30:06.650803,False,en,429,брюки,trousers,trousers,1
2021-11-07 20:30:10.827553,False,ru,10005,spend on,тратить на,тратить на,1
2021-11-07 20:30:16.403020,False,en,2589,в наше время,nowadays,nowadays,1
2021-11-07 20:30:23.163333,False,en,429,брюки,trousers,trousers,1
2021-11-07 20:30:27.347347,False,ru,10003,try on,примерять,тратить на,0
2021-11-07 20:30:33.283885,False,ru,10003,try on,примерять,тратить на,0
2021-11-07 20:30:38.244167,False,en,10005,тратить на,spend on,тратить на,0
2021-11-07 20:30:42.580276,False,en,10003,примерять,try on,try on,1
2021-11-07 20:30:47.131859,False,ru,10005,spend on,тратить на,тратить на,1
2021-11-07 20:30:53.468193,False,ru,1326,fluently,бегло/свободно,свободно,1
2021-11-07 20:31:01.853318,False,ru,5043,surprising,удивительно,удивительно,1
2021-11-07 20:31:07.332396,False,en,2589,в наше время,nowadays,nowadays,1
